song_id;title;title_with_featured;primary_artist_id;primary_artist_name;url
87318;100;100 (Ft. Kendrick Lamar & Royce Da 5’9”);492;Big Sean;https://genius.com/Big-sean-100-lyrics
191019;100 Favors;100 Favors (Ft. Birdman, Detail & Kendrick Lamar);46060;Rich Gang;https://genius.com/Rich-gang-100-favors-lyrics
103554;1Train;1Train (Ft. Action Bronson, Big K.R.I.T., Danny Brown, Joey Bada$$, Kendrick Lamar & Yelawolf);12417;A$AP Rocky;https://genius.com/A-ap-rocky-1train-lyrics
214545;2013 Yeezus Tour Dates;2013 Yeezus Tour Dates (Ft. Kendrick Lamar);72;Kanye West;https://genius.com/Kanye-west-2013-yeezus-tour-dates-annotated
3477888;2018 Grammys Performance;2018 Grammys Performance (Ft. Dave Chappelle & U2);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-2018-grammys-performance-lyrics
3017226;240 Hours;240 Hours;1275450;Fried Rice;https://genius.com/Fried-rice-240-hours-lyrics
621218;25;25 (Ft. Kendrick Lamar);2538;Punch;https://genius.com/Punch-25-lyrics
330374;2DopeBoyz Freestyle;2DopeBoyz Freestyle;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-2dopeboyz-freestyle-lyrics
1900142;2Nite;2Nite (Ft. Jeremih & Kendrick Lamar);123;Dr. Dre;https://genius.com/Dr-dre-2nite-lyrics
2904103;2Pac - Control Reponse;2Pac - Control Reponse;1001264;DJ Chop Up;https://genius.com/Dj-chop-up-2pac-control-reponse-lyrics
196277;3 Minutes of Watts;3 Minutes of Watts (Ft. Jay Rock);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-3-minutes-of-watts-lyrics
54903;6 Foot 7 Foot (Freestyle);6 Foot 7 Foot (Freestyle) (Ft. ScHoolboy Q);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-6-foot-7-foot-freestyle-lyrics
73539;A1 Everything;A1 Everything (Ft. Kendrick Lamar);1319;Meek Mill;https://genius.com/Meek-mill-a1-everything-lyrics
1933500;A1 Everything;A1 Everything;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-a1-everything-lyrics
3573698;A$AP Rocky - 1Train (Azerbaijani Translation);A$AP Rocky - 1Train (Azerbaijani Translation) (Ft. Action Bronson, Big K.R.I.T., Danny Brown, Joey Bada$$, Kendrick Lamar & Yelawolf);1088050;Genius Azerbaijani Translations;https://genius.com/Genius-azerbaijani-translations-a-ap-rocky-1train-azerbaijani-translation-lyrics
51812;Ab-Soul's Outro;Ab-Soul's Outro (Ft. Ab-Soul);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-ab-souls-outro-lyrics
526728;Act Tuff;Act Tuff (Ft. Kendrick Lamar);1403;Jay Rock;https://genius.com/Jay-rock-act-tuff-lyrics
51801;A.D.H.D;A.D.H.D;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-adhd-lyrics
3218695;Afterglow (Outro);Afterglow (Outro) (Ft. Kendrick Lamar);14381;Nitty Scott;https://genius.com/Nitty-scott-afterglow-outro-lyrics
2316070;Ain't That Funkin' Kinda Hard on You? (Louie Vega Remix);Ain't That Funkin' Kinda Hard on You? (Louie Vega Remix) (Ft. Kendrick Lamar);18087;Funkadelic;https://genius.com/Funkadelic-aint-that-funkin-kinda-hard-on-you-louie-vega-remix-lyrics
2426824;Ain't That Funkin' Kinda Hard on You? (We Ain't Neva Gonna Stop Remix);Ain't That Funkin' Kinda Hard on You? (We Ain't Neva Gonna Stop Remix) (Ft. Ice Cube & Kendrick Lamar);18087;Funkadelic;https://genius.com/Funkadelic-aint-that-funkin-kinda-hard-on-you-we-aint-neva-gonna-stop-remix-lyrics
2426840;Ain't That Funkin Kinda Hard On You? (We Ain't never Gonna Stop Remix);Ain't That Funkin Kinda Hard On You? (We Ain't never Gonna Stop Remix) (Ft. George Clinton, Ice Cube & Kendrick Lamar);18087;Funkadelic;https://genius.com/Funkadelic-aint-that-funkin-kinda-hard-on-you-we-aint-never-gonna-stop-remix-lyrics
49272;Alien Girl (Today With Her);Alien Girl (Today With Her);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-alien-girl-today-with-her-lyrics
55026;A Little Appalled;A Little Appalled;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-a-little-appalled-lyrics
482233;All Day;All Day (Ft. Allan Kingdom, Paul McCartney & Theophilus London);72;Kanye West;https://genius.com/Kanye-west-all-day-lyrics
3164090;All Day (2 Chainz Version);All Day (2 Chainz Version) (Ft. 2 Chainz, Allan Kingdom, Paul McCartney & Theophilus London);72;Kanye West;https://genius.com/Kanye-west-all-day-2-chainz-version-lyrics
745685;All Day (Kendrick Lamar Reference);All Day (Kendrick Lamar Reference) (Ft. Allan Kingdom, Kendrick Lamar, Paul McCartney & Theophilus London);72;Kanye West;https://genius.com/Kanye-west-all-day-kendrick-lamar-reference-lyrics
489822;All My Life (Remix);All My Life (Remix) (Ft. 211, Ab-Soul, Bangloose, Eastwood, Glasses Malone, KXNG CROOKED, Mistah F.A.B., Nipsey Hussle, Omar Cruz, Problem, Roccett, Roscoe Umali, ScHoolboy Q, Sinful, Spider Loc, T.K (USA), ​will.i.am, Ya Boy & Young Keno);1403;Jay Rock;https://genius.com/Jay-rock-all-my-life-remix-lyrics
3412272;All the Stars;All the Stars;1307337;Kendrick Lamar & SZA;https://genius.com/Kendrick-lamar-and-sza-all-the-stars-lyrics
3494759;All The Stars (Album Version);All The Stars (Album Version);1307337;Kendrick Lamar & SZA;https://genius.com/Kendrick-lamar-and-sza-all-the-stars-album-version-lyrics
1394820;Alone;Alone;225845;Music;https://genius.com/Music-alone-lyrics
722278;Alright;Alright;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-alright-lyrics
2156436;Alright (BET Performance);Alright (BET Performance);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-alright-bet-performance-lyrics
2156442;Alright (BET Version);Alright (BET Version);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-alright-bet-version-lyrics
2162382;Alright (Music Video);Alright (Music Video);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-alright-music-video-lyrics
2447953;Alright (Remix);Alright (Remix);150814;King Libra;https://genius.com/King-libra-alright-remix-lyrics
2930809;Alright Rendition;Alright Rendition;189591;MannyWellz;https://genius.com/Mannywellz-alright-rendition-lyrics
2160886;"Alright" Video Breakdown;"Alright" Video Breakdown (Ft. Kendrick Lamar);204611;Genius;https://genius.com/Genius-alright-video-breakdown-annotated
3351445;American Dream;American Dream (Ft. J. Cole & Kendrick Lamar);67;Jeezy;https://genius.com/Jeezy-american-dream-lyrics
2879462;American Skin (41 Shots);American Skin (41 Shots) (Ft. Kendrick Lamar);358;Mary J. Blige;https://genius.com/Mary-j-blige-american-skin-41-shots-lyrics
3243964;American Soul;American Soul;23895;U2;https://genius.com/U2-american-soul-lyrics
64033;A Milli (Freestyle);A Milli (Freestyle);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-a-milli-freestyle-lyrics
728126;Another Nigga  (To Pimp a Butterfly);Another Nigga  (To Pimp a Butterfly);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-another-nigga-to-pimp-a-butterfly-annotated
339612;A Song For Buffy (Freestyle);A Song For Buffy (Freestyle);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-a-song-for-buffy-freestyle-lyrics
114761;As We Proceed (To Give You What You Need);As We Proceed (To Give You What You Need) (Ft. A$AP Illz & Kendrick Lamar);22364;NJV;https://genius.com/Njv-as-we-proceed-to-give-you-what-you-need-lyrics
317207;Autumn Leaves;Autumn Leaves (Ft. Kendrick Lamar);438;Chris Brown;https://genius.com/Chris-brown-autumn-leaves-lyrics
54712;Average Joe;Average Joe;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-average-joe-lyrics
376535;Babylon;Babylon (Ft. Kendrick Lamar);41579;SZA;https://genius.com/Sza-babylon-lyrics
750103;Back In The Day;Back In The Day (Ft. Kendrick Lamar & Kobe);24986;Scoe;https://genius.com/Scoe-back-in-the-day-lyrics
92853;Backseat Freestyle;Backseat Freestyle;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-backseat-freestyle-lyrics
3626889;Backseat Freestyle;Backseat Freestyle;1048939;DJ Critical Hype;https://genius.com/Dj-critical-hype-backseat-freestyle-lyrics
376444;Backwards;Backwards (Ft. Tame Impala);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-backwards-lyrics
3747928;Bad Blood;Bad Blood;140496;Madilyn Bailey;https://genius.com/Madilyn-bailey-bad-blood-lyrics
1866151;Bad Blood (Remix);Bad Blood (Remix) (Ft. Kendrick Lamar);1177;Taylor Swift;https://genius.com/Taylor-swift-bad-blood-remix-lyrics
88984;Ball Game;Ball Game (Ft. Kendrick Lamar);1973;Smoke DZA;https://genius.com/Smoke-dza-ball-game-lyrics
1808493;Ballin;Ballin (Ft. Jay Rock & Kendrick Lamar);745;Bow Wow;https://genius.com/Bow-wow-ballin-lyrics
49458;Barbed Wire;Barbed Wire (Ft. Ash Riser);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-barbed-wire-lyrics
696679;Basquet;Basquet;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-basquet-lyrics
61224;B-Boyz;B-Boyz (Ft. Ace Hood, DJ Khaled, Kendrick Lamar & Mack Maine);86;Birdman;https://genius.com/Birdman-b-boyz-lyrics
288983;Beats By Dre Commercial - Dre/Kendrick;Beats By Dre Commercial - Dre/Kendrick;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-beats-by-dre-commercial-dre-kendrick-lyrics
328131;Before He Was Famous Freestyle (Nickerson Gardens Cypha);Before He Was Famous Freestyle (Nickerson Gardens Cypha);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-before-he-was-famous-freestyle-nickerson-gardens-cypha-lyrics
2285167;Before I Commit Suicide;Before I Commit Suicide;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-before-i-commit-suicide-lyrics
2343453;Behind the Walls: A Black Comedy;Behind the Walls: A Black Comedy;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-behind-the-walls-a-black-comedy-annotated
86359;Bend Ya (Official);Bend Ya (Official) (Ft. Frank Ocean & Kendrick Lamar);1180;Mann;https://genius.com/Mann-bend-ya-official-lyrics
85746;Bend Ya (Remix);Bend Ya (Remix) (Ft. Blessed, Frank Ocean, Kendrick Lamar & Shawn Chrystopher);1180;Mann;https://genius.com/Mann-bend-ya-remix-lyrics
3478100;Best Rap Album Acceptance Speech 2018 Grammys;Best Rap Album Acceptance Speech 2018 Grammys;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-best-rap-album-acceptance-speech-2018-grammys-annotated
66747;Best Rapper Under 25;Best Rapper Under 25;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-best-rapper-under-25-lyrics
77617;BET BackRoom Freestyle;BET BackRoom Freestyle (Ft. BET);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-bet-backroom-freestyle-lyrics
231937;BET Cypher 2013;BET Cypher 2013 (Ft. Ab-Soul, Isaiah Rashad, Jay Rock, Kendrick Lamar & ScHoolboy Q);1108010;Top Dawg Entertainment;https://genius.com/Top-dawg-entertainment-bet-cypher-2013-lyrics
57111;BET Hip Hop Awards 2011 Cypher #1;BET Hip Hop Awards 2011 Cypher #1 (Ft. Big K.R.I.T., B.o.B, Kendrick Lamar, Machine Gun Kelly & Tech N9ne);132097;BET;https://genius.com/Bet-bet-hip-hop-awards-2011-cypher-1-lyrics
154311;Better Off;Better Off (Ft. Kendrick Lamar);43346;Quadron;https://genius.com/Quadron-better-off-lyrics
3286716;Better (Play) the Game;Better (Play) the Game (Ft. Kendrick Lamar);1245463;Adante, Shanice, and Emily;https://genius.com/Adante-shanice-and-emily-better-play-the-game-lyrics
67140;Beyoncé;Beyoncé;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-beyonce-lyrics
365075;Big Boy's Neigborhood Freestyle;Big Boy's Neigborhood Freestyle;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-big-boys-neigborhood-freestyle-lyrics
524704;Big Boy's Neighborhood Freestyle 2014;Big Boy's Neighborhood Freestyle 2014;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-big-boys-neighborhood-freestyle-2014-lyrics
181123;Biggie;Biggie;1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-biggie-lyrics
2458499;Big Guns;Big Guns (Ft. Kendrick Lamar);1403;Jay Rock;https://genius.com/Jay-rock-big-guns-lyrics
3487555;Big Shot;Big Shot;1357230;Kendrick Lamar & Travis Scott;https://genius.com/Kendrick-lamar-and-travis-scott-big-shot-lyrics
3542909;Big Shot (Remix);Big Shot (Remix) (Ft. AndreBlurz);1421;Kendrick Lamar;https://genius.com/Kendrick-lamar-big-shot-remix-lyrics
